source,target,value
Donald Trump,Bill Clinton,9
Hillary Clinton,Bill Clinton,1
Jill Stein,Bill Clinton,5
Gary Johnson,Bill Clinton,0
Mike Pence,Bill Clinton,0
Tim Kaine,Bill Clinton,0
Donald Trump,Ivanka Trump,9
Hillary Clinton,Ivanka Trump,0
Jill Stein,Ivanka Trump,0
Gary Johnson,Ivanka Trump,0
Mike Pence,Ivanka Trump,0
Tim Kaine,Ivanka Trump,0
Donald Trump,Mike R. Pence,11
Hillary Clinton,Mike R. Pence,21
Jill Stein,Mike R. Pence,4
Gary Johnson,Mike R. Pence,0
Mike Pence,Mike R. Pence,20
Tim Kaine,Mike R. Pence,2
Donald Trump,Barack Obama,357
Hillary Clinton,Barack Obama,36
Jill Stein,Barack Obama,34
Gary Johnson,Barack Obama,6
Mike Pence,Barack Obama,8
Tim Kaine,Barack Obama,5
Donald Trump,Paul Ryan,2
Hillary Clinton,Paul Ryan,0
Jill Stein,Paul Ryan,0
Gary Johnson,Paul Ryan,0
Mike Pence,Paul Ryan,2
Tim Kaine,Paul Ryan,0
Donald Trump,Bernie Sanders,42
Hillary Clinton,Bernie Sanders,15
Jill Stein,Bernie Sanders,33
Gary Johnson,Bernie Sanders,7
Mike Pence,Bernie Sanders,1
Tim Kaine,Bernie Sanders,0
Donald Trump,Tim M. Kaine,5
Hillary Clinton,Tim M. Kaine,4
Jill Stein,Tim M. Kaine,6
Gary Johnson,Tim M. Kaine,0
Mike Pence,Tim M. Kaine,1
Tim Kaine,Tim M. Kaine,2
Donald Trump,Bank,4
Hillary Clinton,Bank,12
Jill Stein,Bank,34
Gary Johnson,Bank,0
Mike Pence,Bank,2
Tim Kaine,Bank,6
Donald Trump,Currency,8
Hillary Clinton,Currency,0
Jill Stein,Currency,0
Gary Johnson,Currency,1
Mike Pence,Currency,0
Tim Kaine,Currency,0
Donald Trump,Debt,19
Hillary Clinton,Debt,41
Jill Stein,Debt,103
Gary Johnson,Debt,5
Mike Pence,Debt,5
Tim Kaine,Debt,11
Donald Trump,Deficit,4
Hillary Clinton,Deficit,0
Jill Stein,Deficit,0
Gary Johnson,Deficit,0
Mike Pence,Deficit,1
Tim Kaine,Deficit,3
Donald Trump,Entitlement,2
Hillary Clinton,Entitlement,0
Jill Stein,Entitlement,0
Gary Johnson,Entitlement,1
Mike Pence,Entitlement,0
Tim Kaine,Entitlement,0
Donald Trump,Inflation,0
Hillary Clinton,Inflation,0
Jill Stein,Inflation,2
Gary Johnson,Inflation,0
Mike Pence,Inflation,0
Tim Kaine,Inflation,0
Donald Trump,Infrastructure,4
Hillary Clinton,Infrastructure,4
Jill Stein,Infrastructure,7
Gary Johnson,Infrastructure,0
Mike Pence,Infrastructure,6
Tim Kaine,Infrastructure,7
Donald Trump,Jobs,85
Hillary Clinton,Jobs,43
Jill Stein,Jobs,98
Gary Johnson,Jobs,3
Mike Pence,Jobs,30
Tim Kaine,Jobs,31
Donald Trump,Labor,3
Hillary Clinton,Labor,6
Jill Stein,Labor,5
Gary Johnson,Labor,0
Mike Pence,Labor,4
Tim Kaine,Labor,2
Donald Trump,Minimum Wage,0
Hillary Clinton,Minimum Wage,11
Jill Stein,Minimum Wage,11
Gary Johnson,Minimum Wage,0
Mike Pence,Minimum Wage,0
Tim Kaine,Minimum Wage,1
Donald Trump,NAFTA,5
Hillary Clinton,NAFTA,0
Jill Stein,NAFTA,18
Gary Johnson,NAFTA,0
Mike Pence,NAFTA,0
Tim Kaine,NAFTA,0
Donald Trump,Overtime,1
Hillary Clinton,Overtime,1
Jill Stein,Overtime,3
Gary Johnson,Overtime,0
Mike Pence,Overtime,0
Tim Kaine,Overtime,0
Donald Trump,Paid Leave,0
Hillary Clinton,Paid Leave,6
Jill Stein,Paid Leave,1
Gary Johnson,Paid Leave,0
Mike Pence,Paid Leave,0
Tim Kaine,Paid Leave,1
Donald Trump,Poverty,4
Hillary Clinton,Poverty,5
Jill Stein,Poverty,25
Gary Johnson,Poverty,1
Mike Pence,Poverty,1
Tim Kaine,Poverty,3
Donald Trump,Tax,62
Hillary Clinton,Tax,96
Jill Stein,Tax,48
Gary Johnson,Tax,20
Mike Pence,Tax,17
Tim Kaine,Tax,13
Donald Trump,Trade,50
Hillary Clinton,Trade,2
Jill Stein,Trade,32
Gary Johnson,Trade,6
Mike Pence,Trade,3
Tim Kaine,Trade,9
Donald Trump,Trans-Pacific,6
Hillary Clinton,Trans-Pacific,1
Jill Stein,Trans-Pacific,0
Gary Johnson,Trans-Pacific,0
Mike Pence,Trans-Pacific,0
Tim Kaine,Trans-Pacific,1
Donald Trump,Unemployment,4
Hillary Clinton,Unemployment,1
Jill Stein,Unemployment,7
Gary Johnson,Unemployment,0
Mike Pence,Unemployment,29
Tim Kaine,Unemployment,3
Donald Trump,Wages,3
Hillary Clinton,Wages,23
Jill Stein,Wages,30
Gary Johnson,Wages,1
Mike Pence,Wages,4
Tim Kaine,Wages,2
Donald Trump,Wall Street,16
Hillary Clinton,Wall Street,34
Jill Stein,Wall Street,38
Gary Johnson,Wall Street,1
Mike Pence,Wall Street,1
Tim Kaine,Wall Street,1
Donald Trump,Welfare,0
Hillary Clinton,Welfare,0
Jill Stein,Welfare,6
Gary Johnson,Welfare,0
Mike Pence,Welfare,0
Tim Kaine,Welfare,0
Donald Trump,Benghazi,10
Hillary Clinton,Benghazi,2
Jill Stein,Benghazi,0
Gary Johnson,Benghazi,0
Mike Pence,Benghazi,0
Tim Kaine,Benghazi,0
Donald Trump,Breitbart,6
Hillary Clinton,Breitbart,1
Jill Stein,Breitbart,0
Gary Johnson,Breitbart,0
Mike Pence,Breitbart,0
Tim Kaine,Breitbart,0
Donald Trump,Charity,9
Hillary Clinton,Charity,0
Jill Stein,Charity,0
Gary Johnson,Charity,0
Mike Pence,Charity,0
Tim Kaine,Charity,2
Donald Trump,Clinton Foundation,3
Hillary Clinton,Clinton Foundation,0
Jill Stein,Clinton Foundation,8
Gary Johnson,Clinton Foundation,0
Mike Pence,Clinton Foundation,1
Tim Kaine,Clinton Foundation,2
Donald Trump,Deplorables,3
Hillary Clinton,Deplorables,0
Jill Stein,Deplorables,0
Gary Johnson,Deplorables,0
Mike Pence,Deplorables,0
Tim Kaine,Deplorables,0
Donald Trump,Emails,19
Hillary Clinton,Emails,3
Jill Stein,Emails,6
Gary Johnson,Emails,1
Mike Pence,Emails,1
Tim Kaine,Emails,0
Donald Trump,Trump University,11
Hillary Clinton,Trump University,7
Jill Stein,Trump University,1
Gary Johnson,Trump University,0
Mike Pence,Trump University,0
Tim Kaine,Trump University,2
Donald Trump,Affordability,0
Hillary Clinton,Affordability,1
Jill Stein,Affordability,0
Gary Johnson,Affordability,0
Mike Pence,Affordability,0
Tim Kaine,Affordability,2
Donald Trump,Colleges,1
